sample_id,bacteria,antibiotics,phenotype
SAMN11953774,Escherichia coli,amikacin,resistant
SAMN11953774,Escherichia coli,ampicillin,resistant
SAMN11953774,Escherichia coli,aztreonam,resistant
SAMN11953774,Escherichia coli,cefepime,resistant
SAMN11953774,Escherichia coli,cefotaxime,resistant
SAMN11953774,Escherichia coli,ceftazidime,resistant
SAMN11953774,Escherichia coli,ceftriaxone,resistant
SAMN11953774,Escherichia coli,ciprofloxacin,resistant
SAMN11953774,Escherichia coli,doripenem,susceptible
SAMN11953774,Escherichia coli,ertapenem,susceptible
SAMN11953774,Escherichia coli,gentamicin,resistant
SAMN11953774,Escherichia coli,imipenem,susceptible
SAMN11953774,Escherichia coli,levofloxacin,resistant
SAMN11953774,Escherichia coli,meropenem,susceptible
SAMN11953774,Escherichia coli,tetracycline,resistant
SAMN11953774,Escherichia coli,tobramycin,resistant
SAMN11953775,Klebsiella pneumoniae,amikacin,susceptible
SAMN11953775,Klebsiella pneumoniae,aztreonam,resistant
SAMN11953775,Klebsiella pneumoniae,cefepime,resistant
SAMN11953775,Klebsiella pneumoniae,cefotaxime,resistant
SAMN11953775,Klebsiella pneumoniae,ceftazidime,resistant
SAMN11953775,Klebsiella pneumoniae,ceftriaxone,resistant
SAMN11953775,Klebsiella pneumoniae,ciprofloxacin,resistant
SAMN11953775,Klebsiella pneumoniae,colistin,susceptible
SAMN11953775,Klebsiella pneumoniae,doripenem,resistant
SAMN11953775,Klebsiella pneumoniae,ertapenem,resistant
SAMN11953775,Klebsiella pneumoniae,gentamicin,susceptible
SAMN11953775,Klebsiella pneumoniae,imipenem,resistant
SAMN11953775,Klebsiella pneumoniae,levofloxacin,resistant
SAMN11953775,Klebsiella pneumoniae,meropenem,resistant
SAMN11953775,Klebsiella pneumoniae,tetracycline,resistant
SAMN11953775,Klebsiella pneumoniae,tigecycline,resistant
SAMN11953775,Klebsiella pneumoniae,tobramycin,resistant
SAMN11953776,Escherichia coli,amikacin,susceptible
SAMN11953776,Escherichia coli,ampicillin,resistant
SAMN11953776,Escherichia coli,aztreonam,resistant
SAMN11953776,Escherichia coli,cefepime,resistant
SAMN11953776,Escherichia coli,cefotaxime,resistant
SAMN11953776,Escherichia coli,ceftazidime,resistant
SAMN11953776,Escherichia coli,ceftriaxone,resistant
SAMN11953776,Escherichia coli,ciprofloxacin,resistant
SAMN11953776,Escherichia coli,doripenem,resistant
SAMN11953776,Escherichia coli,ertapenem,resistant
SAMN11953776,Escherichia coli,gentamicin,susceptible
SAMN11953776,Escherichia coli,imipenem,resistant
SAMN11953776,Escherichia coli,levofloxacin,resistant
SAMN11953776,Escherichia coli,meropenem,resistant
SAMN11953776,Escherichia coli,tetracycline,resistant
SAMN11953776,Escherichia coli,tobramycin,susceptible
SAMN11953777,Escherichia coli,amikacin,susceptible
SAMN11953777,Escherichia coli,ampicillin,resistant
SAMN11953777,Escherichia coli,aztreonam,resistant
SAMN11953777,Escherichia coli,cefepime,resistant
SAMN11953777,Escherichia coli,cefotaxime,resistant
SAMN11953777,Escherichia coli,ceftazidime,resistant
SAMN11953777,Escherichia coli,ceftriaxone,resistant
SAMN11953777,Escherichia coli,ciprofloxacin,resistant
SAMN11953777,Escherichia coli,doripenem,susceptible
SAMN11953777,Escherichia coli,ertapenem,susceptible
SAMN11953777,Escherichia coli,imipenem,susceptible
SAMN11953777,Escherichia coli,levofloxacin,resistant
SAMN11953777,Escherichia coli,meropenem,susceptible
SAMN11953777,Escherichia coli,tetracycline,resistant
SAMN11953777,Escherichia coli,tobramycin,resistant
SAMN11953778,Escherichia coli,amikacin,susceptible
SAMN11953778,Escherichia coli,ampicillin,resistant
SAMN11953778,Escherichia coli,cefepime,susceptible
SAMN11953778,Escherichia coli,ceftazidime,resistant
SAMN11953778,Escherichia coli,ceftriaxone,resistant
SAMN11953778,Escherichia coli,ciprofloxacin,resistant
SAMN11953778,Escherichia coli,doripenem,susceptible
