sample_id,bacteria,antibiotics,phenotype
Enterobacter_MB019,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB019,Enterobacter cloacae,ceftazidime,susceptible
Enterobacter_MB019,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB019,Enterobacter cloacae,piperacillin-tazobactam,susceptible
Enterobacter_MB046,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB046,Enterobacter cloacae,ceftazidime,susceptible
Enterobacter_MB046,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB046,Enterobacter cloacae,piperacillin-tazobactam,susceptible
Enterobacter_MB107,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB107,Enterobacter cloacae,ceftazidime,susceptible
Enterobacter_MB107,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB107,Enterobacter cloacae,piperacillin-tazobactam,susceptible
Enterobacter_MB131,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB131,Enterobacter cloacae,ceftazidime,susceptible
Enterobacter_MB131,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB131,Enterobacter cloacae,piperacillin-tazobactam,susceptible
Enterobacter_MB148,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB148,Enterobacter cloacae,ceftazidime,susceptible
Enterobacter_MB148,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB148,Enterobacter cloacae,piperacillin-tazobactam,susceptible
Enterobacter_MB189,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB189,Enterobacter cloacae,ceftazidime,resistant
Enterobacter_MB189,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB189,Enterobacter cloacae,piperacillin-tazobactam,resistant
Enterobacter_MB499,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB499,Enterobacter cloacae,ceftazidime,resistant
Enterobacter_MB499,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB499,Enterobacter cloacae,piperacillin-tazobactam,resistant
Enterobacter_MB587A,Enterobacter cloacae,cefepime,susceptible
Enterobacter_MB587A,Enterobacter cloacae,ceftazidime,susceptible
Enterobacter_MB587A,Enterobacter cloacae,meropenem,susceptible
Enterobacter_MB587A,Enterobacter cloacae,piperacillin-tazobactam,susceptible
Enterobacter_MB846,Enterobacter cloacae,cefepime,resistant
Enterobacter_MB846,Enterobacter cloacae,ceftazidime,resistant
