sample_id,bacteria,antibiotics,phenotype
1163409,Enterobacter cloacae,ertapenem,resistant
2141705,Klebsiella pneumoniae,amikacin,susceptible
2141705,Klebsiella pneumoniae,cefepime,resistant
2141705,Klebsiella pneumoniae,cefotaxime,resistant
2141705,Klebsiella pneumoniae,ceftazidime,resistant
2141705,Klebsiella pneumoniae,ertapenem,resistant
2141705,Klebsiella pneumoniae,gentamicin,susceptible
2141705,Klebsiella pneumoniae,imipenem,resistant
2141705,Klebsiella pneumoniae,levofloxacin,resistant
2141705,Klebsiella pneumoniae,meropenem,resistant
2141705,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,resistant
2141966,Klebsiella pneumoniae,amikacin,susceptible
2141966,Klebsiella pneumoniae,cefotaxime,resistant
2141966,Klebsiella pneumoniae,ceftazidime,resistant
2141966,Klebsiella pneumoniae,ciprofloxacin,susceptible
2141966,Klebsiella pneumoniae,doripenem,susceptible
2141966,Klebsiella pneumoniae,ertapenem,resistant
2141966,Klebsiella pneumoniae,gentamicin,susceptible
2141966,Klebsiella pneumoniae,levofloxacin,susceptible
2141966,Klebsiella pneumoniae,meropenem,susceptible
2141966,Klebsiella pneumoniae,tobramycin,susceptible
2141966,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,susceptible
2141967,Klebsiella pneumoniae,cefepime,resistant
2141967,Klebsiella pneumoniae,cefotaxime,resistant
2141967,Klebsiella pneumoniae,ceftazidime,resistant
2141967,Klebsiella pneumoniae,ertapenem,resistant
2141967,Klebsiella pneumoniae,gentamicin,susceptible
2141967,Klebsiella pneumoniae,imipenem,resistant
2141967,Klebsiella pneumoniae,levofloxacin,resistant
2141967,Klebsiella pneumoniae,meropenem,resistant
2141967,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,resistant
2141968,Klebsiella pneumoniae,cefepime,resistant
2141968,Klebsiella pneumoniae,cefotaxime,resistant
2141968,Klebsiella pneumoniae,ceftazidime,resistant
2141968,Klebsiella pneumoniae,ertapenem,resistant
2141968,Klebsiella pneumoniae,imipenem,resistant
2141968,Klebsiella pneumoniae,levofloxacin,resistant
2141968,Klebsiella pneumoniae,meropenem,resistant
2141968,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,resistant
2141969,Klebsiella pneumoniae,cefepime,resistant
2141969,Klebsiella pneumoniae,cefotaxime,resistant
2141969,Klebsiella pneumoniae,ceftazidime,resistant
2141969,Klebsiella pneumoniae,ertapenem,resistant
2141969,Klebsiella pneumoniae,gentamicin,susceptible
2141969,Klebsiella pneumoniae,imipenem,resistant
2141969,Klebsiella pneumoniae,levofloxacin,resistant
2141969,Klebsiella pneumoniae,meropenem,resistant
2141969,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,susceptible
2141970,Klebsiella pneumoniae,amikacin,susceptible
2141970,Klebsiella pneumoniae,cefepime,resistant
2141970,Klebsiella pneumoniae,cefotaxime,resistant
2141970,Klebsiella pneumoniae,ceftazidime,resistant
2141970,Klebsiella pneumoniae,ertapenem,resistant
2141970,Klebsiella pneumoniae,gentamicin,susceptible
2141970,Klebsiella pneumoniae,imipenem,resistant
2141970,Klebsiella pneumoniae,levofloxacin,resistant
2141970,Klebsiella pneumoniae,meropenem,resistant
2141970,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,susceptible
2141971,Klebsiella pneumoniae,cefepime,resistant
2141971,Klebsiella pneumoniae,cefotaxime,resistant
2141971,Klebsiella pneumoniae,ceftazidime,resistant
2141971,Klebsiella pneumoniae,ertapenem,resistant
2141971,Klebsiella pneumoniae,gentamicin,susceptible
2141971,Klebsiella pneumoniae,imipenem,resistant
2141971,Klebsiella pneumoniae,levofloxacin,resistant
2141971,Klebsiella pneumoniae,meropenem,resistant
2141971,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,susceptible
2141972,Klebsiella pneumoniae,amikacin,susceptible
2141972,Klebsiella pneumoniae,cefepime,resistant
2141972,Klebsiella pneumoniae,cefotaxime,resistant
2141972,Klebsiella pneumoniae,ceftazidime,resistant
2141972,Klebsiella pneumoniae,ertapenem,resistant
2141972,Klebsiella pneumoniae,gentamicin,susceptible
2141972,Klebsiella pneumoniae,imipenem,resistant
2141972,Klebsiella pneumoniae,levofloxacin,resistant
2141972,Klebsiella pneumoniae,meropenem,resistant
