sample_id,bacteria,antibiotics,phenotype
SAMN04014895,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04014895,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014895,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014895,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014895,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014895,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014895,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014895,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014895,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014895,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04014895,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014895,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014905,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04014905,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014905,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014905,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014905,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014905,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014905,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN04014905,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014905,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014905,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014905,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014905,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN04014931,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04014931,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014931,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014931,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014931,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014931,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014931,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014931,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014931,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014931,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014931,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04014931,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014931,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014933,Pseudomonas aeruginosa,amikacin,resistant
SAMN04014933,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04014933,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014933,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014933,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014933,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014933,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014933,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014933,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014933,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014933,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014933,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04014933,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014933,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014935,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04014935,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014935,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014935,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014935,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014935,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014935,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014935,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014935,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014935,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014935,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04014935,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014935,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN04014936,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04014936,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04014936,Pseudomonas aeruginosa,cefepime,susceptible
SAMN04014936,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN04014936,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014936,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014936,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN04014936,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014936,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014936,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014936,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014936,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN04014941,Pseudomonas aeruginosa,amikacin,resistant
SAMN04014941,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04014941,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014941,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014941,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014941,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014941,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014941,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014941,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014941,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014941,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014941,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014941,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014944,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014944,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014944,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014944,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014944,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014944,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014944,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014944,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014944,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014944,Pseudomonas aeruginosa,piperacillin-tazobactam,susceptible
SAMN04014944,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014944,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014946,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04014946,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04014946,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014946,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014946,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014946,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014946,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014946,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014946,Pseudomonas aeruginosa,imipenem,susceptible
SAMN04014946,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014946,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014946,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014946,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014949,Pseudomonas aeruginosa,amikacin,resistant
SAMN04014949,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04014949,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014949,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014949,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014949,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014949,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014949,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014949,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014949,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014949,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014949,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04014949,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014949,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014951,Pseudomonas aeruginosa,amikacin,resistant
SAMN04014951,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04014951,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014951,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04014951,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014951,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014951,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014951,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014951,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014951,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014951,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014951,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014951,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04014952,Pseudomonas aeruginosa,amikacin,resistant
SAMN04014952,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04014952,Pseudomonas aeruginosa,cefepime,resistant
SAMN04014952,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04014952,Pseudomonas aeruginosa,colistin,susceptible
SAMN04014952,Pseudomonas aeruginosa,doripenem,resistant
SAMN04014952,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04014952,Pseudomonas aeruginosa,imipenem,resistant
SAMN04014952,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04014952,Pseudomonas aeruginosa,meropenem,resistant
SAMN04014952,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04014952,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04014952,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04901619,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04901619,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04901619,Pseudomonas aeruginosa,cefepime,resistant
SAMN04901619,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04901619,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04901619,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901619,Pseudomonas aeruginosa,doripenem,resistant
SAMN04901619,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN04901619,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901619,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04901619,Pseudomonas aeruginosa,meropenem,resistant
SAMN04901619,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04901619,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901619,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN04901620,Pseudomonas aeruginosa,amikacin,resistant
SAMN04901620,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04901620,Pseudomonas aeruginosa,cefepime,resistant
SAMN04901620,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04901620,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04901620,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901620,Pseudomonas aeruginosa,doripenem,resistant
SAMN04901620,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04901620,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901620,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04901620,Pseudomonas aeruginosa,meropenem,resistant
SAMN04901620,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04901620,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901620,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04901621,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04901621,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04901621,Pseudomonas aeruginosa,cefepime,resistant
SAMN04901621,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04901621,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04901621,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901621,Pseudomonas aeruginosa,doripenem,resistant
SAMN04901621,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04901621,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901621,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04901621,Pseudomonas aeruginosa,meropenem,resistant
SAMN04901621,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04901621,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901621,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04901622,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04901622,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04901622,Pseudomonas aeruginosa,cefepime,susceptible
SAMN04901622,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN04901622,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04901622,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901622,Pseudomonas aeruginosa,doripenem,susceptible
SAMN04901622,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04901622,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901622,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04901622,Pseudomonas aeruginosa,piperacillin-tazobactam,susceptible
SAMN04901622,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901622,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04901623,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04901623,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04901623,Pseudomonas aeruginosa,cefepime,susceptible
SAMN04901623,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN04901623,Pseudomonas aeruginosa,ciprofloxacin,susceptible
SAMN04901623,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901623,Pseudomonas aeruginosa,doripenem,resistant
SAMN04901623,Pseudomonas aeruginosa,gentamicin,susceptible
SAMN04901623,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901623,Pseudomonas aeruginosa,levofloxacin,susceptible
SAMN04901623,Pseudomonas aeruginosa,meropenem,resistant
SAMN04901623,Pseudomonas aeruginosa,piperacillin-tazobactam,susceptible
SAMN04901623,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901623,Pseudomonas aeruginosa,tobramycin,susceptible
SAMN04901624,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04901624,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04901624,Pseudomonas aeruginosa,cefepime,susceptible
SAMN04901624,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN04901624,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04901624,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901624,Pseudomonas aeruginosa,doripenem,susceptible
SAMN04901624,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04901624,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901624,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04901624,Pseudomonas aeruginosa,meropenem,susceptible
SAMN04901624,Pseudomonas aeruginosa,piperacillin-tazobactam,susceptible
SAMN04901624,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901624,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04901625,Pseudomonas aeruginosa,amikacin,resistant
SAMN04901625,Pseudomonas aeruginosa,aztreonam,resistant
SAMN04901625,Pseudomonas aeruginosa,cefepime,resistant
SAMN04901625,Pseudomonas aeruginosa,ceftazidime,resistant
SAMN04901625,Pseudomonas aeruginosa,ciprofloxacin,resistant
SAMN04901625,Pseudomonas aeruginosa,colistin,susceptible
SAMN04901625,Pseudomonas aeruginosa,doripenem,resistant
SAMN04901625,Pseudomonas aeruginosa,gentamicin,resistant
SAMN04901625,Pseudomonas aeruginosa,imipenem,resistant
SAMN04901625,Pseudomonas aeruginosa,levofloxacin,resistant
SAMN04901625,Pseudomonas aeruginosa,meropenem,resistant
SAMN04901625,Pseudomonas aeruginosa,piperacillin-tazobactam,resistant
SAMN04901625,Pseudomonas aeruginosa,polymyxin B,susceptible
SAMN04901625,Pseudomonas aeruginosa,tobramycin,resistant
SAMN04901626,Pseudomonas aeruginosa,amikacin,susceptible
SAMN04901626,Pseudomonas aeruginosa,aztreonam,susceptible
SAMN04901626,Pseudomonas aeruginosa,cefepime,susceptible
SAMN04901626,Pseudomonas aeruginosa,ceftazidime,susceptible
SAMN04901626,Pseudomonas aeruginosa,ciprofloxacin,resistant
